district,area,unit_price,rooms,build_year,near_subway,url,crawl_time
保利恒伟时光印象,124.37,9328,,2021,是,https://cs.58.com/ershoufang/4117210427124748x.shtml?auction=220&hpType=60&entry=102&position=43&kwtype=filter&now_time=1766195298&typecode=220&spread=filtersearch_c&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_43&from=from_esf_List_search&index=48,2025-12-20 09:49:35
山水湾,113.43,6436,,2021,是,https://cs.58.com/ershoufang/4335128322169865x.shtml?auction=201&hpType=60&entry=102&position=42&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_42&from=from_esf_List_search&index=47,2025-12-20 09:49:37
八方小区(C区),123.8,23425,,2021,是,https://cs.58.com/ershoufang/2718621033126918x.shtml?auction=201&hpType=60&entry=102&position=41&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_41&from=from_esf_List_search&index=46,2025-12-20 09:49:39
方略潇邦,143.25,4803,,2021,是,https://cs.58.com/ershoufang/4367621418180621x.shtml?auction=201&hpType=60&entry=102&position=40&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_40&from=from_esf_List_search&index=45,2025-12-20 09:49:40
时代倾城(三期),87.0,6529,,2021,是,https://cs.58.com/ershoufang/4221474725863424x.shtml?auction=201&hpType=60&entry=102&position=39&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_39&from=from_esf_List_search&index=44,2025-12-20 09:49:42
北辰中央公园(AB区),124.77,7975,,2021,是,https://cs.58.com/ershoufang/4357395702574092x.shtml?auction=201&hpType=60&entry=102&position=38&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_38&from=from_esf_List_search&index=43,2025-12-20 09:49:45
银港水晶城(A区),125.78,7792,,2088,是,https://cs.58.com/ershoufang/4360195293289479x.shtml?auction=220&hpType=60&entry=102&position=37&kwtype=filter&now_time=1766195298&typecode=220&spread=filtersearch_c&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_37&from=from_esf_List_search&index=42,2025-12-20 09:49:46
金地三千府(别墅),140.66,11944,,1989,是,https://cs.58.com/ershoufang/4070198982515715x.shtml?auction=201&hpType=60&entry=102&position=36&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_36&from=from_esf_List_search&index=41,2025-12-20 09:49:48
恒大城,81.49,7609,,2021,是,https://cs.58.com/ershoufang/4186455688768515x.shtml?auction=201&hpType=60&entry=102&position=35&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_35&from=from_esf_List_search&index=39,2025-12-20 09:49:50
璞悦府,147.55,10031,,1973,是,https://cs.58.com/ershoufang/4214831859395590x.shtml?auction=201&hpType=60&entry=102&position=34&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_34&from=from_esf_List_search&index=38,2025-12-20 09:49:52
星典时代,94.57,6874,,2094,是,https://cs.58.com/ershoufang/4334797276847111x.shtml?auction=201&hpType=60&entry=102&position=33&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_33&from=from_esf_List_search&index=37,2025-12-20 09:49:53
钰龙天下佳园(二期),104.16,15361,,2028,是,https://cs.58.com/ershoufang/3533544778963975x.shtml?auction=201&hpType=60&entry=102&position=32&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_32&from=from_esf_List_search&index=36,2025-12-20 09:49:54
馨香雅苑,94.47,8130,,2021,是,https://cs.58.com/ershoufang/3604529491435531x.shtml?auction=220&hpType=60&entry=102&position=31&kwtype=filter&now_time=1766195298&typecode=220&spread=filtersearch_c&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_31&from=from_esf_List_search&index=35,2025-12-20 09:49:56
钰龙天下,111.38,16880,,2021,是,https://cs.58.com/ershoufang/4095940776958987x.shtml?auction=201&hpType=60&entry=102&position=30&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_30&from=from_esf_List_search&index=34,2025-12-20 09:49:58
钰龙天下,77.93,18607,,2021,是,https://cs.58.com/ershoufang/4352305589148673x.shtml?auction=201&hpType=60&entry=102&position=29&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_29&from=from_esf_List_search&index=33,2025-12-20 09:50:00
楚天世纪城(东苑),127.19,5488,,2019,是,https://cs.58.com/ershoufang/3333860903033861x.shtml?auction=201&hpType=60&entry=102&position=28&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_28&from=from_esf_List_search&index=32,2025-12-20 09:50:02
阳光城溪山悦,140.56,7969,,2064,是,https://cs.58.com/ershoufang/4220643438632967x.shtml?auction=201&hpType=60&entry=102&position=27&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_27&from=from_esf_List_search&index=30,2025-12-20 09:50:04
恒大城,100.09,8773,,2021,是,https://cs.58.com/ershoufang/2718584924544000x.shtml?auction=201&hpType=60&entry=102&position=26&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_26&from=from_esf_List_search&index=29,2025-12-20 09:50:06
八方小区(C区),138.38,21535,,2021,是,https://cs.58.com/ershoufang/4008174474927107x.shtml?auction=220&hpType=60&entry=102&position=25&kwtype=filter&now_time=1766195298&typecode=220&spread=filtersearch_c&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_25&from=from_esf_List_search&index=28,2025-12-20 09:50:07
长房东旭国际(一期),99.0,8889,,2021,是,https://cs.58.com/ershoufang/4262689238969346x.shtml?auction=201&hpType=60&entry=102&position=24&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_24&from=from_esf_List_search&index=27,2025-12-20 09:50:10
中建钰和城,114.53,11177,,1906,是,https://cs.58.com/ershoufang/4316281260858375x.shtml?auction=201&hpType=60&entry=102&position=23&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_23&from=from_esf_List_search&index=26,2025-12-20 09:50:11
阿普阿布,105.45,9958,,2021,是,https://cs.58.com/ershoufang/4368690212674574x.shtml?auction=201&hpType=60&entry=102&position=22&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_22&from=from_esf_List_search&index=25,2025-12-20 09:50:13
万科魅力之城,143.0,10686,,2021,是,https://cs.58.com/ershoufang/4129785867217925x.shtml?auction=201&hpType=60&entry=102&position=21&kwtype=filter&now_time=1766195298&typecode=201&spread=filtersearch_p&epauction=&stats_key=c1fe7003-6128-4fbe-bd07-e45712a67455_21&from=from_esf_List_search&index=24,2025-12-20 09:50:15
